"id","concession","area","sitecode","stopname","roadname","towards","coordinates"
210,"DIMTS","East","DTE-013-P","Maharaj Pur Check Post","Chaudhary Charan Singh Marg","Gazi Pur","28.643296, 77.316633"
211,"DIMTS","East","DTE-014-P","Maharaj Pur Check Post","Chaudhary Charan Singh Marg","Gazi Pur","28.643109, 77.316567"
212,"DIMTS","East","DTE-015-P","Gazi Pur Depot","Chaudhary Charan Singh Marg","Gazi Pur","28.641790, 77.316100"
213,"DIMTS","East","DTE-016-P","Gazi Pur Depot","Chaudhary Charan Singh Marg","Border","28.641516, 77.315635"
214,"DIMTS","East","DTE-017-P","Gazi Pur Depot","Chaudhary Charan Singh Marg","Border","28.641915, 77.315771"
215,"DIMTS","East","DTE-018-P","Telco Gazi Pur","Chaudhary Charan Singh Marg","Border","28.640707, 77.315241"
216,"DIMTS","East","DTE-019-P","Gazi Pur Village","Chaudhary Charan Singh Marg","Border","28.632121, 77.315680"
217,"DIMTS","East","DTE-020-P","Gazi Pur Xing.","Chaudhary Charan Singh Marg","Border","28.630140, 77.316315"
218,"DIMTS","East","DTE-021-P","SFS Quarter Gazi Pur","Chaudhary Charan Singh Marg","Gazi Pur","28.631011, 77.316416"
219,"DIMTS","East","DTE-022-P","Mayur Place","Noida Link Road","Noida","28.591884, 77.295364"
220,"DIMTS","East","DTE-023-P","Mayur Place","Noida Link Road","Nizamuddin","28.590916, 77.295346"
221,"DIMTS","East","DTE-024-P","Samachar Appartment","Noida Link Road","Nizamuddin","28.596956, 77.291968"
222,"DIMTS","East","DTE-025-P","Samachar Appartment","Noida Link Road","Noida","28.597941, 77.292017"
223,"DIMTS","East","DTE-026-P","Mayur Vihar I Xing","Noida Link Road","Noida","28.604015, 77.289010"
224,"DIMTS","East","DTE-027-P","Mayur Vihar I Xing","Noida Link Road","Nizamuddin","28.604344, 77.288221"
225,"DIMTS","East","DTE-028-P","Delhi Police Apartment","Noida Link Road","Noida","28.609521, 77.286020"
226,"DIMTS","East","DTE-029-P","Delhi Police Apartment","Noida Link Road","Nizamuddin","28.608220, 77.286289"
227,"DIMTS","East","DTE-030-P","Samaspur Jagir Village","Gurjar Samrat Mihir Bhoj Marg","Akshar Dham","28.615712, 77.285588"
228,"DIMTS","East","DTE-031-P","Samaspur Jagir Village","Gurjar Samrat Mihir Bhoj Marg","Akshar Dham","28.615373, 77.285146"
229,"DIMTS","East","DTE-032-P","Samaspur Jagir Village","Gurjar Samrat Mihir Bhoj Marg","Gazipur","28.615355, 77.284528"
230,"DIMTS","East","DTE-033-P","Yamuna Bank Metro Station","Noida Link Road","Akshar Dham","28.625073, 77.275488"
465,"JTL","North","JTL-018","Rajghat","Mahatma Gandhi Marg","Ashram","28.641631, 77.247030"
466,"JTL","North","JTL-019","Vijay Ghat","Mahatma Gandhi Marg","ISBT","28.657652, 77.244853"
467,"JTL","North","JTL-020","Vijay Ghat","Mahatma Gandhi Marg","ITO","28.657779, 77.245181"
468,"JTL","North","JTL-021","Vijay Ghat","Mahatma Gandhi Marg","Ashram","28.657685, 77.245230"
469,"JTL","North","JTL-022","Shanti Van","Mahatma Gandhi Marg","Ashram","28.649792, 77.245680"
470,"JTL","North","JTL-023","G G Singh University","Mahatma Gandhi Marg","ISBT","28.664870, 77.234414"
471,"JTL","North","JTL-024","G.G Singh University","Mahatma Gandhi Marg","ISBT","28.665068, 77.234261"
472,"JTL","North","JTL-025","ISBT","Mahatma Gandhi Marg","Azadpur","28.668857, 77.232049"
473,"JTL","North","JTL-026","ISBT","Mahatma Gandhi Marg","Azadpur","28.669035, 77.231986"
474,"JTL","North","JTL-027","ISBT","Mahatma Gandhi Marg","ITO","28.669144, 77.232205"
475,"JTL","North","JTL-028","ISBT","Mahatma Gandhi Marg","ITO","28.669255, 77.232146"
476,"JTL","North","JTL-029","Yumuna Bazar","Mahatma Gandhi Marg","ITO","28.664923, 77.235469"
477,"JTL","Central","JTL-030","DR.Ambedkar Terminal","Jawaharlal Nehru Marg","Inside Terminal","28.639664, 77.243511"
478,"JTL","Central","JTL-031","DR.Ambedkar Terminal","Jawaharlal Nehru Marg","Inside Terminal","28.639640, 77.243721"
479,"JTL","Central","JTL-032","DR.Ambedkar Terminal","Jawaharlal Nehru Marg","Inside Terminal","28.639581, 77.244088"
480,"JTL","Central","JTL-033","DR.Ambedkar Terminal","Jawaharlal Nehru Marg","Inside Terminal","28.639579, 77.244115"
481,"JTL","Central","JTL-034","Ambedkar Stadium Terminal","Jawaharlal Nehru Marg","L.N.J.P.Hospital","28.639804, 77.243755"
482,"JTL","Central","JTL-035","Delhi Gate","Jawaharlal Nehru Marg","Kamla Market","28.640012, 77.237555"
483,"JTL","Central","JTL-036","L N J P Hospital","Jawaharlal Nehru Marg","Kamla Market","28.640092, 77.236112"
484,"JTL","Central","JTL-037","L N J P Hospital","Jawaharlal Nehru Marg","Kamla Market","28.640120, 77.235103"
485,"JTL","Central","JTL-038","Zakir Hussain College","Jawaharlal Nehru Marg","Rajghat","28.641180, 77.229996"
486,"JTL","Central","JTL-039","Zakir Hussain College","Jawaharlal Nehru Marg","Kamla Market","28.640973, 77.229908"
487,"JTL","Central","JTL-040","Shivaji Park","Minto Road","Connaught Place","28.638627, 77.224109"
488,"JTL","Central","JTL-041","Shivaji Park","Minto Road","Kamla Market","28.638734, 77.223945"
489,"JTL","Central","JTL-042","Minto Road","Minto Road","Terminal","28.639541, 77.223738"
490,"JTL","Central","JTL-043","Minto Road","Minto Road","Terminal","28.639574, 77.223620"
